cust_id,cust_name,current,daysa,daysb,daysc,daysd,total_balance,term
DUKALB99,DUKE CITY REDI MIX %%,241.31,0,0,0,0,241.31,Net 30
BTURAT99,BTU%,557.32,0,0,0,0,557.32,Net 30
ROULOV01,ROUSSELLE VAULT COMPANY,0,0,0,0,610.66,610.66,Net 30
QUIALB99,QUIKRETE%,496.31,223.83,0,0,0,720.14,Net 30
MORMOR99,MORIARTY CONCRETE %,805.1,0,0,0,0,805.1,Net 30
FARDEL,FARLEY FARMS %,821.15,0,0,0,0,821.15,Net 15
BREBRE99,BRENNER MATERIALS,0,0,849.53,0,0,849.53,Net 30
MATMON99,MATHIAS CONCRETE %,862.88,0,0,0,0,862.88,Net 30
RICALB99,RICCOBENE PATIO PAVERS %,871.97,0,0,0,0,871.97,Net 30
EVESIL,EVERIST SILVERTHORNE%,1041.19,0,0,0,0,1041.19,Net 30
ABCFAR,ABC CONCRETE%,1148.62,0,0,0,0,1148.62,Net 30
BEAWES99,BEACH REDI MIX %,1220.98,0,0,0,0,1220.98,Net 30
LMCSAN01,L. M. CONCRETE PUMPING,1253.18,0,0,0,0,1253.18,Net 30
ROPCAR99,ROPER CONSTRUCTION %,1500.88,0,0,0,0,1500.88,Net 30
STODOL99,STONE SAND AND GRAVEL %,1514.54,0,0,0,0,1514.54,Net 30
PARALB99,PAREXLAHABRA  INC. %**,1591.82,0,0,0,0,1591.82,Net 30
DRAFAR99,DRAKE ENERGY  SERVICES %,0,1605.76,0,0,0,1605.76,Net 30
MESFAR01,MESA SAND AND GRAVEL %,1744.75,0,0,0,0,1744.75,Net 30
GCCSUN99,GCC SUN CITY,0,0,1788,0,0,1788,Net 30
SURCOM,SURE GROW %*,1845.83,0,0,0,0,1845.83,Net 15
HASALB99,HASSE CONTRACTING,1850,0,0,0,0,1850,Net 30
CANMIL,C AND E CONCRETE%,1058.91,1079.38,0,0,0,2138.29,Net 30
INDFAR01,"INDUSTRIAL MECHANICAL, INC%",2147.07,0,0,0,0,2147.07,Net 30
OMECOM,OMEGA PRODUCTS%,2196.48,0,0,0,0,2196.48,Net 30
LIBTOL,LIBBEY INC. %*,0,0,2209.73,0,0,2209.73,Net 15
OWEIRV,OWENS CORNING,1982.44,0,0,0,243.84,2226.28,Net 45
PERLUB99,PERMIAN BASIN,2250,0,0,0,0,2250,Net 30
BASBLO99,BASIN DISPOSAL %,2294.01,0,0,0,0,2294.01,Net 30
SIMFLO,SIMS GLOBAL SOLUTIONS%*,0,2447.96,0,0,0,2447.96,Net 15
AGGCON,AGGREGATE INDUSTRIES,2732.65,0,0,0,-264.45,2468.2,Net 20
ROSROS99,ROSWELL READY MIX CO. %,2486.4,0,0,0,0,2486.4,Net 30
BRESIL,"BRENNER MATERIALS, LLC%",2817.64,0,0,0,0,2817.64,Net 20
CEMNEW99,"CEMEX, INC",0,2854.75,4.68,0,2859.43,2859.43,Net 30
CERGRE,CERTAINTEED LLC %*,2956.8,0,0,0,0,2956.8,Net 15
FULSYR99,FULLNER CATTLE COMPANY %,3018.31,0,0,0,0,3018.31,Net 30
WILOVE99,WILBERT FUNERAL SERVICE %,3102.78,0,0,0,0,3102.78,Net 30
CSRBER,CSR RINKER-PIPE PLANT,3432.91,0,0,0,0,3432.91,Net 30
CANGRA99,C AND E CONCRETE INC. %,1153.96,2319.31,0,0,0,3473.27,Net 30
CENCEN99,CENTER REDI MIX  %,3057.8,0,700.88,0,0,3758.68,Net 30
GILWAY,GILES CHEMICAL %*,0,0,0,2353.11,1420.09,3773.2,Net 15
DASENG,DASCO%*,3788.19,0,0,0,0,3788.19,Net 30
PETRAP,"PETE LIEN & SONS, INC %",3801.3,0,0,0,0,3801.3,Net 30
HOLALB99,HOLCIM CEMENT,0,3804.57,0,0,0,3804.57,Net 30
GOOLOR,GOODE FERTILIZER %,3874.99,0,0,0,0,3874.99,Net 15
BESLIT01,COLORADO BEST BLOCK%,4020.6,0,0,0,0,4020.6,Net 30
JIMRIC,JIM HICKS *%,4052.11,0,0,0,0,4052.11,Net 15
APLFAR,A PLUS WELL SERVICE%,4263,0,0,0,0,4263,Net 30
ALCNEW99,ALCOA INC.,1500,1500,1500,0,0,4500,Net 30
AUITUC99,AUI INC,2250,2250,0,0,0,4500,Net 30
SOUSIL99,SOUTHWEST CONCRETE AND PAVING,2250,2250,0,0,0,4500,Net 30
ASPSUR,ASPHALTBUSTERS %,0,4515.73,0,0,0,4515.73,Net 30
HOLCON,LAFARGE HOLCIM CONCORD,10189.14,-1227.96,-590.66,-2659.45,-894.35,4816.72,Net 30
ESPESP99,ESPANOLA TRANSIT MIX,4827.27,0,0,0,0,4827.27,Net 30
CASCAS,CASTLE ROCK CONSTRUCTION%,4000,1070.58,0,0,-1.59,5068.99,Net 30
GEOCOL,GEOCYCLE,400,4800,0,0,0,5200,Net 30
GCCELP,GCC RIO GRANDE **%,1552.53,3706.8,0,0,0,5259.33,Net 30
AMIDEN,AMICUS CHEMICAL SOLUTIONS,5354.6,0,0,0,0,5354.6,Net 15
BENTUL01,EUROCHEM NORTH AMERICA CORP,5483.85,0,0,0,0,5483.85,Net 15
LEOTRI01,LEONE SAND AND GRAVEL %,2819.32,2670.29,0,0,0,5489.61,Net 30
HILDAY,HILLER CARBON %,5763.12,0,0,0,0,5763.12,Net 15
ZEMLIT,ZEMENT STONE,0,1000,1000,2000,2000,6000,Net 30
INTENG,INTERSTATE HIGHWAY CONST%,6072.8,0,0,0,0,6072.8,Net 30
ACCSAN,ACCENTURE/BSS EDM,2100,2100,2100,0,0,6300,Net 30
SOUTEM,SOUTHWEST ASPHALT PAVING,3200,3200,0,0,0,6400,Net 30
COOSEA,COOPER NATURAL RESOURCES%,6483.57,0,0,0,0,6483.57,Net 15
SOULOR99,SOUTHWEST CONCRETE & PAVING,0,6635.1,0,0,0,6635.1,Net 30
CANDUR,C AND J GRAVEL,6644.93,0,0,0,0,6644.93,Net 30
ARDIND,"ARDAGH GLASS, INC.*%",3641.58,3766.74,-727.93,0,0,6680.39,Net 15
MOUOMA,MOUNTAIN VIEW CORRIDOR CONSTRUCTORS,0,0,6768,0,0,6768,Net 30
MICGAL,MICHELE`S READY MIX %,6914.23,0,0,0,0,6914.23,Net 30
BNSPHO,BNSF LOGISTICS,4800,2400,0,0,0,7200,Net 30
DRISTR,DRILLCHEM%,7932.9,0,0,0,0,7932.9,Net 30
METDEN01,METRO MIX LLC,11169.71,412.32,659.79,0,-4292.79,7949.03,Net 30
MURMIN,MURPHY & MURPHY MINERAL WELLS,7442.83,917.63,0,0,-0.9,8359.56,Net 30
CHESCO,"LHOIST NORTH AMERICA OF ARIZONA, INC.",8500,0,0,0,0,8500,Net 30
BASDEN,BASALITE - DENVER%,8574.34,0,0,0,0,8574.34,Net 30
TTRGUN01,T & T REDI MIX %,8674.02,0,0,0,0,8674.02,Net 15
CORCAR,"CORONADO STONE PRODUCTS OF TEXAS, INC%",8841.58,0,0,0,0,8841.58,Net 20
BASAZT,BASIN DISPOSAL INC.,2271.52,6578.9,0,0,0,8850.42,Net 30
SOUTUS,"SOUTHWEST ENERGY, LLC%",7125.73,2252.38,0,0,0,9378.11,Net 30
DYNSAL,"DYNO NOBEL, INC.%",7078.56,2667.13,0,0,0,9745.69,Net 30
ROCPUE99,ROCLA  %,5615,4205,0,0,0,9820,Net 30
GCCELP99,GCC RIO GRANDE **%,1210.23,8615.61,0,0,0,9825.84,Net 30
CHALOU01,CHARAH LLC,10876.28,0,0,0,0,10876.28,Net 30
OLDLIT,OLDCASTLE PRECAST INC *%,4085.78,3507.76,4169.57,0,0,11763.11,Net 30
ACGMOO99,ACG MATERIALS,6000,6000,0,0,0,12000,Net 30
