customer,customer_name,invoice,invoice_date,due_date,amount,days
AGGCON,AGGREGATE INDUSTRIES,1252965A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1252966A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1252996A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1253004A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1253007A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1253547A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1253548A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1254474A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1254741A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1254743A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1255028A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1255029A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1255030A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1255036A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1255037A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1255038A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1255378A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1255379A,4/2/2021,5/2/2021,$88.15 ,30
AGGCON,AGGREGATE INDUSTRIES,1255380A,4/2/2021,5/2/2021,$88.15 ,30
AGGDEN01,AGGREGATE INDUSTRIES,1252715A,4/2/2021,5/2/2021,$486.94 ,30
AGGDEN01,AGGREGATE INDUSTRIES,1253580A,4/2/2021,5/2/2021,$207.57 ,30
AGGDEN01,AGGREGATE INDUSTRIES,1253581A,4/2/2021,5/2/2021,$206.14 ,30
AGGDEN01,AGGREGATE INDUSTRIES,1253992A,4/2/2021,5/2/2021,$514.06 ,30
AGGDEN01,AGGREGATE INDUSTRIES,1254003A,4/2/2021,5/2/2021,$464.95 ,30
AGGDEN01,AGGREGATE INDUSTRIES,1254247A,4/2/2021,5/2/2021,$287.83 ,30
AGGDEN01,AGGREGATE INDUSTRIES,1254260A,4/2/2021,5/2/2021,$513.26 ,30
AGGDEN01,AGGREGATE INDUSTRIES,1254512A,4/2/2021,5/2/2021,$216.48 ,30
